date,product_id,competitor_name,competitor_price
2024-02-06,1,Countdown,9.78
2025-06-26,1,Countdown,8.12
2024-04-24,1,Countdown,8.32
2025-09-21,1,Countdown,8.08
2024-11-04,1,Countdown,8.22
2025-03-06,1,Countdown,9.39
2024-03-10,1,Countdown,8.32
2024-08-25,1,Countdown,9.43
2025-12-12,1,Countdown,8.27
2025-08-23,1,Countdown,9.52
2025-02-24,1,Countdown,9.85
2025-02-02,1,Countdown,10.73
2024-03-28,1,Countdown,9.53
2024-10-03,1,Countdown,8.98
2025-08-17,1,Countdown,9.22
2025-12-25,1,Countdown,8.91
2024-02-25,1,Countdown,9.24
2024-11-08,1,Countdown,9.61
2024-07-01,1,Countdown,9.93
2025-03-22,1,Countdown,8.06
2025-10-24,1,Countdown,10.53
2025-03-22,1,Countdown,9.45
2025-01-16,1,Countdown,10.46
2024-03-05,1,Countdown,10.12
2025-12-14,1,Countdown,9.52
2025-06-26,1,Countdown,9.38
2025-09-06,1,Countdown,8.35
2024-12-07,1,Countdown,9.51
2025-02-22,1,Countdown,9.55
2024-12-10,1,Countdown,8.56
2024-09-03,1,Countdown,10.31
2024-02-05,1,Countdown,8.52
2025-03-18,1,Countdown,10.58
2024-07-02,1,Countdown,10.05
2024-01-30,1,Countdown,9.18
2025-09-03,1,Countdown,8.27
2025-06-30,1,Countdown,9.17
2024-11-10,1,Countdown,10.01
2024-07-08,1,Countdown,10.16
2025-02-19,1,Countdown,9.64
2025-05-22,1,Countdown,8.05
2025-09-05,1,Countdown,9.7
2024-10-13,1,Countdown,9.18
2024-09-08,1,Countdown,9.61
2024-08-19,1,Countdown,8.26
2024-06-01,1,Countdown,8.96
2024-02-26,1,Countdown,9.77
2024-08-03,1,Countdown,10.18
2025-09-01,1,Countdown,9.51
2024-03-12,1,Countdown,8.18
2025-01-31,1,Countdown,9.08
2024-02-04,1,Countdown,8.5
2025-04-08,1,Countdown,9.05
2024-12-28,1,Countdown,10.37
2025-06-30,1,New World,8.31
2024-06-18,1,New World,8.18
2024-09-24,1,New World,9.4
2025-12-22,1,New World,10.54
2024-08-21,1,New World,9.05
2025-12-25,1,New World,8.95
2025-03-27,1,New World,10.62
2024-03-12,1,New World,8.08
2024-07-16,1,New World,10.1
2024-04-01,1,New World,8.05
2025-12-20,1,New World,8.55
2025-12-19,1,New World,9.54
2024-03-04,1,New World,9.89
2025-06-15,1,New World,8.34
2024-08-22,1,New World,9.66
2024-03-12,1,New World,10.01
2025-03-06,1,New World,9.69
2024-08-18,1,New World,8.25
2025-02-17,1,New World,8.32
2025-10-14,1,New World,9.47
2025-01-22,1,New World,10.57
2024-08-15,1,New World,8.9
2025-06-09,1,New World,9.54
2025-04-06,1,New World,8.45
2024-06-05,1,New World,7.94
2024-08-08,1,New World,8.58
2025-05-29,1,New World,8.04
2024-08-14,1,New World,8.87
2025-05-28,1,New World,10.07
2025-02-16,1,New World,9.68
2024-08-16,1,New World,9.7
2025-08-23,1,New World,10.04
2024-03-20,1,New World,9.63
2024-10-09,1,New World,8.8
2024-04-18,1,New World,8.51
2024-01-05,1,New World,9.73
2024-03-21,1,New World,10.23
2024-03-27,1,New World,9.21
2024-08-17,1,New World,10.07
2025-11-02,1,New World,8.96
2024-10-12,1,New World,8.63
2024-06-06,1,New World,7.99
2024-11-05,1,New World,10.21
2025-10-14,1,New World,9.61
2024-09-27,1,New World,8.09
2024-12-15,1,New World,9.45
2025-12-07,1,New World,10.41
2024-02-06,1,New World,8.35
2025-06-19,1,Pak'nSave,9.23
2024-08-25,1,Pak'nSave,8.22
2025-06-23,1,Pak'nSave,10.49
2024-03-03,1,Pak'nSave,10.06
2024-01-09,1,Pak'nSave,10.38
2024-01-29,1,Pak'nSave,8.21
2025-10-15,1,Pak'nSave,10.49
