transaction_id,date,product_id,customer_id,region_id,units_sold,list_price,discount_pct,final_price,cost,revenue,profit
1,2024-08-21,15,96,R008,20,2.9,0.23,2.23,1.86,44.6,7.4
2,2024-03-16,47,72,R010,5,7.98,0.2,6.38,6.25,31.9,0.65
3,2024-04-01,31,88,R014,8,12.98,0.03,12.59,10.34,100.72,18.0
4,2024-12-23,26,12,R014,3,18.13,0.23,13.96,9.53,41.88,13.29
5,2024-02-25,44,187,R003,1,8.88,0.01,8.79,5.42,8.79,3.37
6,2024-04-12,31,65,R004,19,12.98,0.15,11.03,10.34,209.57,13.11
7,2024-01-22,23,52,R002,5,1.94,0.01,1.92,1.53,9.6,1.95
8,2024-03-18,19,157,R011,13,9.36,0.27,6.83,5.52,88.79,17.03
9,2024-03-30,16,138,R012,19,3.2,0.19,2.59,2.13,49.21,8.74
10,2024-11-26,48,73,R010,10,15.4,0.08,14.17,11.45,141.7,27.2
11,2024-01-17,25,171,R001,5,10.38,0.05,9.86,7.34,49.3,12.6
12,2024-06-18,30,160,R005,17,14.28,0.08,13.14,8.79,223.38,73.95
13,2024-10-05,32,26,R012,16,6.3,0.13,5.48,4.76,87.68,11.52
14,2024-06-24,42,73,R010,7,9.32,0.17,7.74,4.77,54.18,20.79
15,2024-10-26,1,189,R013,16,9.34,0.28,6.72,6.16,107.52,8.96
16,2024-08-29,10,60,R002,17,4.27,0.16,3.59,2.93,61.03,11.22
17,2024-05-27,29,138,R012,5,9.26,0.15,7.87,6.9,39.35,4.85
18,2024-07-16,42,130,R002,20,9.32,0.2,7.46,4.77,149.2,53.8
19,2024-09-30,47,114,R008,5,7.98,0.1,7.18,6.25,35.9,4.65
20,2024-10-26,24,154,R004,10,13.61,0.26,10.07,9.85,100.7,2.2
21,2024-12-30,17,161,R009,13,3.35,0.27,2.45,1.84,31.85,7.93
22,2024-07-26,5,83,R001,14,11.96,0.27,8.73,9.07,122.22,-4.76
23,2024-05-03,38,171,R001,9,19.39,0.01,19.2,15.47,172.8,33.57
24,2024-01-02,43,124,R005,4,8.28,0.26,6.13,6.51,24.52,-1.52
25,2024-12-23,9,89,R006,1,18.15,0.0,18.15,12.03,18.15,6.12
26,2024-02-14,43,148,R003,16,8.28,0.18,6.79,6.51,108.64,4.48
27,2024-07-07,33,86,R016,6,16.43,0.14,14.13,9.57,84.78,27.36
